Cue Name	Audio Message	Media XR Message	Media QLab Message
Hint 1.1	/cue/202/start		/cue/7/start
Hint 3.1	/cue/205/start		
Hint 3.2	/cue/206/start		
Hint 3.3	/cue/207/start		
Hint 3.4	/cue/208/start		
Hint 3.5	/cue/209/start		
Hint 4.1	/cue/210/start		
Hint 6.1	/cue/216/start		
Hint 6.2	/cue/217/start		
Hint 6.3	/cue/218/start		
Press if Door Open		state3/1	
Press if Door Close		state4/1	
Leave Option	/cue/220/start		
Outcome 1	/cue/223/start		/cue/4/start
Outcome 2	/cue/224/start		/cue/5/start
Outcome 3	/cue/225/start		/cue/6/start
Sound Panic	/panic		
